user,friend
0,829
0,2157
0,2242
0,1290
0,2743
0,1987
0,2502
0,2123
0,1574
0,636
0,700
0,620
0,2484
0,2127
0,78
0,1911
0,64
0,1067
0,2414
0,1333
0,2632
0,202
0,2148
0,2364
0,2610
0,1976
0,2418
0,948
0,324
0,1641
0,1035
0,1046
0,2275
0,2264
0,2456
0,475
0,1526
0,2341
0,2385
0,2558
0,2188
0,2018
0,111
0,2134
0,1837
0,2488
0,273
0,2154
0,1838
0,755
0,2576
0,2710
0,2547
0,431
0,218
0,2199
0,900
0,2
0,745
0,604
0,165
0,65
0,207
0,2090
0,1160
1,2400
1,2341
1,2247
1,420
1,2175
1,2176
1,2242
1,1997
1,2264
1,1752
1,1679
1,154
1,454
1,207
1,2794
1,293
1,2632
1,2199
1,2089
1,0
1,1067
1067,2000
1067,1847
1067,813
1067,719
1067,734
1067,2473
1067,639
1067,101
1067,1311
1067,2357
1067,2332
1067,2124
1067,2484
1067,2632
1067,324
1067,0
1067,1315
1067,1942
1067,2488
1067,1790
1067,2067
1067,2007
1067,1331
1067,419
1067,1286
1067,570
1067,502
1067,2749
1067,1119
1067,2766
1067,905
1067,2415
1067,519
1067,722
1067,810
1067,339
1067,2245
1067,2443
1067,2504
1067,2216
1067,2457
1067,2416
1067,2193
1067,900
1067,196
1067,2440
1067,2203
1067,112
1067,1024
1067,1826
1067,799
1067,1858
1067,1544
1067,2286
1067,1187
1067,2462
1067,2232
1067,615
1067,2264
1067,647
1067,35
1067,454
1067,1493
1067,1
1067,1344
2089,1847
2089,2632
2089,64
2089,2488
2089,0
2089,172
2089,681
2089,207
2089,388
2089,2837
2089,2286
2089,2773
2089,2484
2089,2199
2089,2622
2089,1
2089,1493
2089,2396
2089,2232
2199,2327
2199,1165
2199,2418
2199,1294
2199,2547
2199,1881
2199,2154
2199,2264
2199,1
2199,0
2199,1847
2199,719
2199,502
2199,2419
2199,115
2199,46
2199,755
2308,1069
2308,2802
2308,1720
2308,219
2308,2180
2308,694
2308,1888
2308,1593
2308,807
2308,2462
2308,2122
2308,1535
2308,1997
2308,334
2308,1670
2418,728
2418,1392
2418,712
2418,2154
2418,2249
2418,583
2418,2231
2418,2484
2418,115
2418,2743
2418,618
2418,1848
2418,850
2418,755
2418,647
2418,0
2418,540
2418,1837
2418,1809
2418,2547
2418,745
2418,2634
2418,2090
2418,2186
2418,931
2418,31
2418,2193
2418,2135
2418,2449
2418,1165
2418,2758
2418,72
2418,2456
2418,2340
2418,2604
2418,1911
2418,1160
2418,2592
2418,2809
2418,1956
2418,2134
2418,65
2525,2418
2525,1056
2525,2231
2525,1073
2632,1332
2632,824
2632,64
2632,2387
2632,270
2632,2847
2632,1339
2632,464
2632,842
2632,1012
2632,508
2632,2545
2632,2452
2632,2340
2632,310
2632,2157
2632,2509
2632,355
2632,2089
2632,1976
2632,184
2632,1847
2632,2587
2632,1987
2632,324
2632,559
2632,153
2632,2242
2632,1641
2632,2175
2632,2451
2632,994
2632,2481
2632,207
2632,1613
2632,1060
2632,22
2632,35
2632,1535
2632,2484
2632,2558
2632,2576
2632,2430
2632,1526
2632,1180
2632,790
2632,1997
2632,200
2632,1067
2632,2502
2632,1322
2632,2134
2632,2142
2632,755
2632,2547
2632,948
2632,2488
2632,1814
2632,2154
2632,1752
2632,2327
2632,2176
2632,2275
2632,1838
2632,0
2632,1886
2632,2264
2632,334
2632,165
2632,1450
2632,309
2632,2752
2632,80
2632,1294
2632,1661
2632,1439
2632,1868
2632,1609
2632,1414
2632,360
2632,393
2632,2040
2632,2152
2632,1927
2632,1848
2632,745
2632,2699
2632,169
2632,1690
2632,829
2632,2510
2632,1116
2632,268
2632,2456
2632,1523
2632,190
2632,2418
2632,880
2632,2714
2632,2599
2632,2598
2632,922
2632,1302
2632,900
2743,2114
2743,744
2743,595
2743,2293
2743,115
2743,423
2743,1937
2743,1526
2743,2418
2743,209
2743,2102
2743,2000
2743,1847
2743,1809
2743,1060
2743,1049
2743,768
2743,719
2743,611
2743,2322
2743,239
2743,2809
2743,2478
2743,2456
2743,2110
2743,1837
2743,1976
2743,1217
2743,1123
2743,1046
2743,636
2743,497
2743,508
2743,399
2743,89
2743,78
2743,2558
2743,2710
2743,2275
2743,2123
2743,2200
2743,2188
2743,2134
2743,540
2743,111
2743,0
2743,23
2743,65
2743,345
2743,1954
2743,251
2743,2805
2743,2495
2743,2090
2743,2018
2743,1911
2743,1596
2743,1386
2743,431
2743,218
2743,2
2743,1756
2,182
2,2275
2,517
2,173
2,1802
2,1030
2,2441
2,2577
2,2124
2,2658
2,2177
2,314
2,574
2,2095
2,1013
2,1256
2,1596
2,907
2,960
2,1236
2,2342
2,2495
2,1954
2,2638
2,150
2,2481
2,413
2,1590
2,153
2,2824
2,195
2,89
2,2191
2,2022
2,2318
2,2804
2,338
2,1225
2,455
2,50
2,0
2,2264
2,1215
2,717
2,334
2,701
2,165
2,35
2,2364
2,14
2,2655
2,1911
2,218
2,2090
2,755
2,2743
2,1823
2,1837
2,1526
2,1336
2,1085
2,431
2,434
2,1494
2,2477
2,475
2,196
2,2127
2,2484
2,540
2,647
111,942
111,251
111,1132
111,1848
111,2148
111,508
111,1976
111,2456
111,2833
111,399
111,2341
111,2805
111,2127
111,1227
111,2342
111,2558
111,540
111,2188
111,1837
111,2275
111,2134
111,2710
111,0
111,2632
111,2547
218,2275
218,2127
218,1837
218,508
218,497
218,2558
218,647
218,540
218,475
218,1911
218,625
218,2495
218,133
218,0
218,2
218,2743
324,604
324,1915
324,2632
324,2488
324,1067
324,2421
324,755
324,2154
324,2430
324,1335
324,1838
324,2264
324,0
324,1809
324,1847
324,57
324,2831
324,2044
324,726
324,2166
324,1420
324,952
324,1024
324,165
324,2186
431,409
431,2275
431,636
431,1372
431,2264
431,2154
431,907
431,1838
431,569
431,2090
431,2576
431,540
431,200
431,1837
431,1375
431,2188
431,2018
431,84
431,1661
431,793
431,2134
431,700
431,2558
431,2833
431,218
431,2008
431,2418
431,1804
431,1712
431,429
431,2592
431,38
431,2536
431,2606
431,2419
431,2216
431,2364
431,832
431,2127
431,1637
431,1003
431,2794
431,1911
431,0
431,2743
431,2618
431,1461
431,809
431,150
431,522
431,1878
431,1912
431,2438
431,615
431,2301
431,2267
431,2493
431,1181
431,1048
431,2396
431,682
431,309
431,1841
431,1724
431,963
431,2342
431,1494
431,345
431,2595
431,966
431,1872
431,1252
431,870
431,2521
431,1068
431,855
431,1888
431,1147
431,1336
431,2191
431,381
431,1636
431,557
431,647
431,740
431,475
431,382
431,1015
431,1386
431,2488
431,611
431,2699
431,517
431,1018
431,574
431,2019
431,173
431,422
431,616
431,1665
431,1159
431,1532
431,2312
431,2229
431,1217
431,1049
431,497
431,2831
431,1125
431,2495
431,46
431,2
431,755
540,132
540,1980
540,2181
540,1075
540,2293
540,2606
540,1888
540,1526
540,409
540,1671
540,2558
540,362
540,2446
540,2743
540,2177
540,2342
540,1386
540,1911
540,2231
540,2200
540,2148
540,618
540,1217
540,218
540,962
540,611
540,800
540,2095
540,1132
540,2805
540,2167
540,497
540,580
540,942
540,508
540,2723
540,907
540,2115
540,239
540,89
540,1049
540,78
540,2275
540,2196
540,251
540,2495
540,2456
540,2833
540,2090
540,431
540,2127
540,2
540,2396
540,2210
540,2569
540,1491
540,2418
540,0
540,755
540,2114
540,399
540,2188
540,2134
540,2018
540,111
540,200
540,1837
540,2710
540,334
540,636
540,2297
540,1444
540,64
540,1392
647,2484
647,2180
647,2
647,1123
647,2396
647,420
647,450
647,1204
647,2495
647,2558
647,881
647,517
647,1427
647,72
647,64
647,1170
647,1013
647,960
647,2056
647,1924
647,505
647,50
647,1974
647,1298
647,1507
647,182
647,650
647,2512
647,2407
647,2501
647,2792
647,165
647,219
647,207
647,1311
647,1355
647,2111
647,1067
647,755
647,2090
647,2587
647,963
647,1211
647,2548
647,303
647,218
647,2281
647,2418
647,674
647,701
647,2477
647,1494
647,112
647,2668
647,475
647,35
647,2634
755,2752
755,1294
755,1414
755,1450
755,2576
755,1241
755,1756
755,949
755,1529
755,2008
755,500
755,1535
755,2221
755,175
755,29
755,2327
755,900
755,2098
755,22
755,948
755,1613
755,1526
755,2134
755,600
755,1336
755,454
755,2231
755,994
755,324
755,2632
755,2488
755,1838
755,1558
755,431
755,2418
755,907
755,2831
755,2264
755,2188
755,502
755,1848
755,540
755,1256
755,2154
755,0
755,2547
755,115
755,2378
755,2232
755,960
755,1360
755,1123
755,2592
755,2097
755,2324
755,1165
755,433
755,860
755,712
755,647
755,1911
755,2743
755,2
755,80
755,1837
755,2661
755,1137
755,2177
755,2463
755,624
860,755
860,2743
860,2
860,0
860,2043
860,1217
860,1045
860,399
860,2188
860,1976
860,94
860,2297
860,2134
860,2669
860,2090
860,119
860,610
860,591
860,2456
860,2639
860,2558
860,35
963,2514
963,1850
963,1981
963,1336
963,2477
963,2484
963,2
963,475
963,647
963,2396
963,1494
963,431
963,183
963,2769
963,2495
963,1007
1068,431
1068,88
1176,2521
1176,1444
1176,1294
1176,2396
1176,2527
1176,2342
1176,2297
1176,2414
1176,850
1176,2134
1176,410
1176,508
1176,1056
1176,1526
1176,1472
1176,2797
1176,2110
1176,2809
1176,1165
1176,2148
1176,1061
1176,2115
1176,1392
1176,399
1176,1395
1176,95
1176,794
1176,1132
1176,1418
1176,565
1176,636
1176,202
1176,1976
1176,2456
1176,1123
1176,2188
1176,239
1176,2178
1176,2404
1176,2536
1176,1102
1176,2625
1176,334
1176,1742
1176,89
1176,898
1176,1017
1176,2825
1176,2096
1176,810
1176,277
1176,2699
1176,2340
1176,544
1176,50
1176,808
1176,2264
1176,1911
1176,0
1176,2743
1176,2103
1176,2558
1176,1493
1176,251
1176,1018
1176,1585
1176,229
1176,263
1278,0
1278,1441
1386,810
1386,1911
1386,2743
1386,2000
1386,1264
1386,1128
1386,2676
1386,2105
1386,1217
1386,508
1386,100
1386,89
1386,2342
1386,2123
1386,1132
1386,611
1386,469
1386,2478
1386,2231
1386,2127
1386,2110
1386,1462
1386,497
1386,399
1386,636
1386,540
1386,431
1386,1837
1386,2188
1386,2237
1386,1101
1386,2115
1493,508
1493,2653
1493,2387
1493,2124
1493,1974
1493,334
1493,2751
1493,2191
1493,1227
1493,614
1493,2595
1493,2569
1493,717
1493,2340
1493,75
1493,631
1493,2604
1493,2320
1493,2464
1493,2491
1493,2249
1493,2305
1493,111
1493,1176
1493,251
1493,2547
1493,2323
1493,2293
1493,207
1493,1187
1493,2264
1493,2558
1493,1976
1493,2232
1493,1
1493,1067
1493,2484
1493,454
1493,0
1493,2396
1493,2743
1493,2089
1493,2201
1596,2
1596,1974
1596,2299
1701,2789
1804,1331
1804,1336
1804,2747
1804,183
1804,486
1804,594
1804,55
1804,431
1804,1469
1804,678
1804,857
1804,94
1804,2401
1804,2327
1911,764
1911,187
1911,2342
1911,998
1911,1731
1911,1809
1911,540
1911,2374
1911,1127
1911,273
1911,2341
1911,2456
1911,1333
1911,1035
1911,2710
1911,2558
1911,0
1911,2134
1911,348
1911,1691
1911,1015
1911,2170
1911,35
1911,900
1911,2098
1911,2749
1911,2418
1911,72
1911,1174
1911,2178
1911,218
1911,1386
1911,1
1911,1112
1911,2175
1911,1535
1911,2541
1911,1954
1911,420
1911,2320
1911,2364
1911,2018
1911,2264
1911,2743
1911,2053
1911,334
1911,1180
2018,334
2018,2576
2018,2154
2018,1096
2018,2148
2018,745
2018,2134
2018,2554
2018,604
2018,1414
2018,1290
2018,611
2018,2663
2018,2629
2018,2564
2018,2318
2018,2212
2018,799
2018,251
2018,2320
2018,1911
2018,2743
2018,2632
2018,508
2018,78
2018,1526
2018,2264
2018,2341
2018,2127
2018,2385
2018,431
2018,2275
2018,540
2018,1837
2018,2188
2018,0
2018,2833
2018,2231
2018,65
2018,2465
2018,1597
2018,165
2090,2365
2090,870
2090,1748
2090,11
2090,382
2090,1548
2090,1671
2090,697
2090,1336
2090,2293
2090,1745
2090,399
2090,2210
2090,2536
2090,2145
2090,1217
2090,1809
2090,2710
2090,800
2090,658
2090,58
2090,745
2090,1152
2090,2264
2090,2632
2090,497
2090,78
2090,2825
2090,431
2090,2190
2090,540
2090,193
2090,219
2090,616
2090,2275
2090,2188
2090,2101
2090,2658
2090,334
2090,315
2090,2547
2090,860
2090,0
2090,1
2090,366
2090,251
2090,647
2090,2743
2090,2
2101,19
2101,2090
2101,300
2101,686
2101,1159
2101,2531
2101,2187
